OFWM Project ID,Scheme Name,Province,District,Village,Contract Signed Date,Started Date,Completion Date,Actual end date,Project Status,Length (m),Work Progress (%),Lat,Long,,PDF ID,PDF Map Name,PDF File Name,Multiple canals,No PDF polygon,Missing points,,Assignee ID,Assigned Name,Start,Complete,Notes,Review Status,Review Notes,Reviewer ID,Reviewer Name
B001,Leji Canal,Bamyan,Central of Bamyan,Leji,4/9/2013,4/29/2013,8/10/2014,9/25/2014,Completed,1150,100,34.847359,67.751771,,BN001,Legee,Legee,0,,,,0,Seth Goodman,2017-04-27-T13:31,2017-05-01-T12:33,,Good,Added one points in Georefrencer; lines adjustments; polygon adjustments,3,Siyu
B002,Reg-e-Shad Canal,Bamyan,Central of Bamyan,Reg-e-Shad,4/9/2013,4/29/2013,8/10/2014,9/25/2014,Completed,2355,100,34.842274,67.772743,,BN002,Regi Shad,Regi Shad,0,,,,3,Siyu Luo,2017-06-02-T10:31,2017-06-02-T11:08,,Good,Minor line adjustments,2,Ryan
B003,Mullah Ghulam Canal,Bamyan,Central of Bamyan,Mullah Ghulam,4/9/2013,4/29/2013,8/10/2014,9/25/2014,Completed,800,100,34.840049,67.763417,,BN003,Mullah Ghulam,Mullah Ghulam,0,,,,1,Aaron S. ,2017-05-30-T16:29,2017-05-31-T12:09,,,,,
B004,Shah joe Mamoraak,Bamyan,Central of Bamyan,Shah joe Mamoraak,4/9/2013,4/29/2013,8/10/2014,9/25/2014,Completed,1540,100,34.805335,67.60934,,BN004,Shah Joy Mamorak,Shah Joy Mamorak,0,,,,2,Ryan Muro,2017-05-30-T15:24,2017-05-30-T17:05,,,,,
B005,Pasey Soom,Bamyan,Central of Bamyan,Pasey Soom,4/9/2013,4/29/2013,8/10/2014,9/25/2014,Completed,2869,100,34.794637,67.58432,,BN005,Passy Soom,Passy Soom,0,,,,3,Siyu Luo,2017-05-30-T12:00,2017-05-30-T17:00,,Good,Regeoreferced (Will); modified polygon and lines [Regeoreferenced by Siyu 2017-06-05],4,Will
B006,Raig ha Canal,Bamyan,Saighan,Raig ha ,3/23/2013,4/13/2013,10/13/2013,10/13/2013,Completed,340,100,35.174239,67.667527,,BN006,Regi Ha,Regi Ha,0,,,,4,Will Ryu,2017-05-30-T15:10,2017-05-30-T18:06,,Good,,0,Seth
B007,Taiband Canal,Bamyan,Saighan,Taiband ,3/23/2013,4/13/2013,10/13/2013,10/13/2013,Completed,559,100,35.167336,67.656479,,BN007,Taiban,Taiband,0,,,,5,Will Ryu,2017-05-31-T11:50,2017-05-31-T12:25,,Good ,minor line adjustments,0,Seth 
B008,Jind Khana,Bamyan,Saighan,Jind Khana,3/23/2013,4/13/2013,10/13/2013,10/13/2013,Completed,1505,100,35.177039,67.679423,,BN008,Jind Khana,Jind Khana,0,,,,6,Claire,2017-05-30-T15:03,2017-05-30-T16:06,,Good,Added one branch,7,Renee
B009,Band Samadi,Bamyan,Yakawalang,Band Samadi,3/23/2013,3/30/2013,8/4/2013,8/4/2013,Completed,695,100,34.756369,67.080087,,BN009,Bandi Sanadu,Bandi Samadi,0,,,,1,Aaron S. ,2017-05-30-T15:12,2017-05-30-T13:01,,Good,"Cleaned up two overlapping branches, edited three incorrect branches, merged four disconnected branches",4,Will
B010,Qala Miyana,Bamyan,Yakawalang,Qala Miyana,3/23/2013,3/30/2013,8/4/2013,8/4/2013,Completed,1210,100,34.736682,67.058247,,BN010,Qala-e-Myana,Qala-e-Miyana,0,,,,2,Ryan Muro,2017-05-31-T10:45,2017-05-31-T11:45,,Good,Minor line adjustments // [Regeoreferenced by Ryan 2017-06-05] // Regeoreferencing needed w/o endpoints; tif layer distorted,4,Will
B011,Parjoyak Canal,Bamyan,Yakawalang,Parjoyak Canal,8/3/2013,8/4/2013,8/20/2014,8/20/2014,Completed,1765,100,34.736152,66.971772,,BN011,Parjoyak,Parjoyak,0,,,,3,Siyu Luo,2017-05-31-T10:00,2017-05-31-T11:15,,Good,[Regeoreferenced by Siyu 2017-06-02] // Regeoreferencing needed w/o endpoints; tif layer distorted,4,Will
B012,Munara,Bamyan,Yakawalang,Munara,8/3/2013,8/4/2013,8/20/2014,8/20/2014,Completed,1380,100,34.700459,67.136781,,BN012,Munarah,Munarah,0,,,,4,Callie,2017-05-30-T15:02,2017-05-30-T16:28,"wrong pdf id, go by name",Good,Minor polygon adjustments,3,Siyu
B013,Sare Qool,Bamyan,Yakawalang,Sare Qool,8/3/2013,8/4/2013,8/20/2014,8/20/2014,Completed,2125,100,34.705226,67.152126,,BN007,Sar-e-Qol,Sar-e-Qol,0,,,,5,Callie,2017-05-31-T12:20,2017-06-04-T10:36,"distored, will try again later. wrong pdf id, go by name",Good,"regeoreferenced, redrew main canal",6,Claire
B030,Sherghondi Scheme,Baghlan,Baghlan-E-Jadeed ,Sherghondi,3/19/2014,4/2/2014,10/29/2014,4/21/2015,Completed,1030,100,35.990153,68.592692,,B030,Sherghondi,Sherghondi,0,,,,6,Claire,2017-05-30-T16:07,2017-05-30-T16:43,,Good,,4,Will
B036,Gardaizi,Baghlan,Baghlan-E-Jadeed ,Gardaizi,3/19/2014,4/2/2014,10/29/2014,4/21/2015,Completed,555,100,35.810415,68.810829,,BN036,Gardizi,Gardizi,0,,,,1,Aaron S. ,2017-05-31-T14:15,2017-05-31-T15:08,,Good,Edited one distorted branch,4,Will
B037,Safi & Ali Khail,Baghlan,Baghlan-E-Jadeed ,Safi & Ali Khail,3/19/2014,4/2/2014,10/29/2014,4/21/2015,Completed,1675,100,35.849465,68.798286,,B037,Safi and Alli Khail,Safi & Alli Khil,0,,,,2,Ryan Muro,2017-05-31-T11:50,2017-05-31-T12:36,,Good,Added 4 branches and 1 lining,7,Renee
H001,Deh-Tapa,Herat,Guzara,Deh-Tapa,5/11/2013,5/25/2013,12/31/2013,12/31/2013,Completed,855,100,34.274166,62.14111,,H004,Deh Tapa,Deh Tapa,0,1,,,3,Siyu Luo,2017-05-31-T11:15,2017-05-31-T12:30,"wrong pdf id, go by name; no polygon",Good,,6,Claire
H002,Gashincha,Herat,Guzara,Gashincha,5/11/2013,5/25/2013,12/31/2013,12/31/2013,Completed,1500,100,34.258096,62.124651,,H002,Gashincha,Gashincha,0,,,,4,Will Ryu,2017-05-30-T18:06,2017-05-30-T18:54,,Good,"pdf was warped or something, hand drew lines and polygon based on visuals",6,Claire
H003,Deh-Surkh,Herat,Zendajan,Deh-Surkh,9/16/2013,10/2/2013,6/1/2014,6/1/2014,Completed,2810,100,34.396318,61.940759,,H003,Deh Surkh,Deh Surkh,0,,,,5,Callie,2017-05-31-T10:04,2017-05-31-T11:27,,Good,Edited some lines to better fit satellite image,6,Claire
H004,Deh-Pada,Herat,Zendajan,Deh-Pada,11/4/2013,11/13/2013,8/31/2014,8/31/2014,Completed,3306,100,34.377569,61.941808,,H004,Deh Pada,Deh Pada,0,,,,6,Claire,2017-05-30-T16:45,2017-05-31-T11:11,,Good,Minor line adjustments,4,Will
H005,Koshk-e Bade Saba,Herat,Enjil,Koshk-e Bade Saba,11/4/2013,11/13/2013,8/31/2014,8/31/2014,Completed,4480,100,34.369647,61.965386,,0,Khushki,Khushki,0,,,,1,Aaron S. ,2017-05-30-T15:09,2017-05-31-T13:23,"no pdf id, go by name",Good,"Merged one disconnected branch, shifted one incorrect branch placement",4,Will
H007,Joye Dah,Herat,Enjil,Joye Dah,3/14/2013,3/31/2013,10/10/2013,10/10/2013,Completed,1200,100,34.379177,62.044557,,H007,Joy Deh,Joy Deh,0,,1,,2,Ryan Muro,2017-05-31-T12:37,2017-05-31-T14:07,,Good,"moved some lines to better line up, georeference is a smidge off but not disorted",6,Claire
H008,Saharkhiz,Herat,Enjil,Sharkhiz,8/28/2013,9/2/2013,2/19/2014,2/19/2014,Completed,3100,100,34.38538,62.002523,,H008,Sahar Khiz,Sahar Khiz,0,,,,3,Siyu Luo,2017-05-31-T13:30,2017-05-31-T14:30,,Good,[Regeoreferenced by Siyu 2017-06-05] // Regeoreferencing needed w/o endpoints; tif layer distorted,4,Will
H009,Khalesa Dowtalab,Herat,Guzara,Khalesa Dowtalab,9/16/2013,10/19/2013,9/30/2014,6/30/2014,Completed,890,100,34.2768,62.1499,,H009,Khalesa & Dawatalab,Khalisa and Dawatalab,0,,,,4,Will Ryu,2017-05-30-T18:54,2017-05-31-T10:50,,Good,"shifted line, deleted road line",6,Claire
H010,Gulbafa,Herat,Guzara,Gulbafa,9/16/2013,10/19/2013,9/30/2014,6/30/2014,Completed,1330,100,34.282139,62.182838,,H010,Gulbafa,Gulbafa,0,1,,,5,Callie,2017-05-31-T11:38,2017-05-31-T12:20,,Good,[Regeoreferenced by Callie 2017-06-05] // Regeoreferencing needed w/o endpoints; tif layer distorted,4,Will
H011,Myane Do Joye,Herat,Ghoryan,Myane Do Joye,8/28/2013,9/2/2013,2/19/2014,2/19/2014,Completed,1430,100,34.357654,61.547514,,0,Mayan Do Joy,Mayan Do Joy,1,,,,6,Claire,2017-05-31-T11:12,2017-5-31-T11:44,"no pdf id, go by name",Good,Minor line adjustments,4,Will
H012,Bahawa,Herat,Ghoryan,Bahawa,4/29/2014,5/14/2014,11/24/2014,,Ongoing,2370,3,34.359599,61.591174,,H012,Bahawa,Bahawa,0,,,,1,Aaron S. ,2015-05-31-T14:25,2017-5-31-T15:09,,Good,"Merged three disconnected branches, fixed five overlapping line points",4,Will
H014,Mangawan,Herat,Ghoryan,Mangawan,4/29/2014,5/14/2014,11/24/2014,,Completed,6020,100,34.360274,61.519475,,H014,Mangawan,Mangawan,0,,,,2,Ryan Muro,2017-05-31-T14:09,2017-05-31-T14:59,,Good,,4,Will
H015,Shakiban Tajiki,Herat,Zendajan,Shakiban Tajiki,5/9/2014,5/14/2014,10/25/2014,12/11/2014,Completed,2750,100,34.38016,61.778027,,H015,Shakiban-e-Tajiki,Shakiban-e-Tajiki,0,,,,3,Siyu Luo,2017-05-31-T14:30,2017-05-31-T15:20,,Good,,4,Will
H016,Qala-e-Jamal,Herat,Zendajan,Qala-e-Jamal,5/9/2014,5/14/2014,10/25/2014,12/11/2014,Completed,1155,100,34.372241,61.767397,,H016,Qala-e-Jamal,Qala-e-Jamal,0,,,,4,Will Ryu,2017-05-31-T10:50,2017-05-31-T11:17,,Good,,6,Claire
H024,Moghal Bacha,Herat,Enjil,Moghal Bacha,8/28/2013,9/2/2013,2/19/2014,2/19/2014,Completed,1540,100,34.389921,62.007713,,H024,Mughal Bacha,Mughal Bacha,0,,,,5,Callie,2017-05-31-T15:45,2017-06-04-T10:04,,Good,"Took away endpoints, redrew main canal and fixed branches, redrew polygon",6,Claire
K001,Afghani,Kabul,Shakar Dara,Afghani,6/12/2012,7/3/2012,10/20/2013,10/20/2013,Completed,4000,100,34.644857,69.145689,,K001,Afghani,Afghani and Tajiki,1,,1,,6,Claire,2017-05-31-T11:45,2017--5-31-T12:49,"no polygon outline, qgis failed and quit and i lost my points file but i promise its accurate",Good,Minor line adjustments,4,Will
K002,Tajiki,Kabul,Shakar Dara,Tajiki,6/12/2012,7/3/2012,10/20/2013,10/20/2013,Completed,3960,100,34.650887,69.153387,,K002,Tajiki,Afghani and Tajiki,1,,1,,6,Claire,2017-05-31-T12:15,2017-05-31-T12:51,"no polygon outline, qgis failed and quit and i lost my points file but i promise its accurate",Good,Minor line adjustments,4,Will
K003,Qole Baba Noor,Kabul,Paghman,Qole Baba Noor,12/31/2012,4/13/2013,11/8/2013,11/8/2013,Completed,760,100,34.588962,68.948993,,K003,Qol-e-Baba,Qol-e-Baba,0,,,,1,Aaron S. ,2017-06-01-T:10:45,2017-06-01-T:11:48,,Good,,3,Siyu
K004,Khuja Sabz Posh,Kabul,Dehsabz,Khuja Sabz Posh,12/31/2012,4/13/2013,5/30/2014,,Ongoing,1970,95,34.650629,69.237705,,K005,Khuja Sabz Push,Khuja Sabz Push,0,,,,2,Ryan Muro,2017-05-31-T15:00,2017-05-31-T16:08,pdf id is K005 i think,Good,[Regeoreferenced by Ryan 2017-06-05] // Regeoreferencing needed w/o endpoints; tif layer distorted,4,Will
