OFWM Project ID,Scheme Name,Province,District,Village,Facilitating Partner/Implementer Partner,Contractor,Contract Signed Date,Started Date,Completion Date,Actual end date,Project Cost Afs,Project Status,Length (m),Work Progress (%),Elevation,Long,Lat
B036,Gardaizi,Baghlan,Baghlan-E-Jadeed ,Gardaizi,UN-Habitat/CARE International,Shamal Haidari Construction Company ,Mar/19/2014,Apr/2/2014,Oct/29/2014,Apr/21/2015,1678992.99,Completed,555,100,725,68.810829,35.810415
K001,Afghani,Kabul,Shakar Dara,Afghani,CARE International,Masoud Esmat Construction Company,Jun/12/2012,Jul/3/2012,Oct/20/2013,Oct/20/2013,10118106.5,Completed,4000,100,1764,69.145689,34.644857
M019,Akram Qala,Balkh,Char Bolak,Akram Qala,BRAC/CHA,Speen Dara Construction Company,Feb/10/2014,Apr/07/2013,Sep/30/2014,Nov/9/2014,5300444,Completed,1380,100,328,66.632706,36.731999
M007,Atajan Bay,Balkh,Khulm,Atajan Bay,BRAC/CHA,Saba Drukhshan Construction company,Jun/26/2013,Jul/17/2013,Jan/03/2014,Jan/03/2014,3790539,Completed,1120,100,414,67.696461,36.723923
N021,Attawor,Nangarhar,Khiwa,Attawar,UN-Habitat,Bakhtar Pairoz Construction Company,Jan/09/2014,Mar/08/2014,Jun/24/2014,Jun/24/2014,6078619.5,Completed,1355,100,607,70.587581,34.578622
M006,Baghat,Balkh,Khulm,Baghat,BRAC/CHA,Afghan Maiwand Construction Company,Mar/20/2013,Apr/04/2013,Nov/30/2013,Nov/30/2013,5055154.17,Completed,1635,100,398,67.711016,36.74208
H012,Bahawa,Herat,Ghoryan,Bahawa,CHA,Basirat Construction Company,Apr/29/2014,May/14/2014,Nov/24/2014,,7159743.3,Ongoing,2370,3,808,61.591174,34.359599
K014,Bala Joye Intifat,Kabul,Shakar Dara,Bala Joye Intifat,CARE International,Shams Afghan Construction Company,Sep/30/2013,Oct/03/2013,May/21/2014,Nov/30/2014,15042382.3,Completed,3695,100,1762,69.156474,34.686722
B009,Band Samadi,Bamyan,Yakawalang,Band Samadi,UN-Habitat/CARE International,Maidan Zwahnono Construction Company,Mar/23/2013,Mar/30/2013,Aug/04/2013,Aug/04/2013,1452993.6,Completed,695,100,2709,67.080087,34.756369
K016,Charsooq,Kabul,Shakar Dara,Charsooq,CARE International,Farzan Kaihan GEO Exprt Construction Company,Aug/25/2013,Aug/31/2013,Jun/21/2014,Jun/21/2014,5142767.6,Completed,2117,100,1823,69.16686,34.409352
K008,Daag,Kabul,Chahar Asyab,Daag,CARE International,Saba Drukhshan Construction company,Mar/23/2013,Jul/29/2013,May/30/2014,Apr\27\2015,5260162.9,Completed,1420,100,1869,69.137839,34.369023
M003,Dalkhaki,Samangan,Central of Samangan,Dalkhaki,BRAC/CHA,Builtech Construction Company,Jun/11/2013,Jun/25/2013,Oct/31/2014,Nov\17\2014,8830162.66,Completed,2080,100,894,67.96421,36.329922
K018,Dasht-e-Archi,Kapisa,Central of Kapisa,Dasht-e-Archi,CARE International,Speen Dara Construction Company,Sep/30/2013,Oct/08/2013,May/05/2014,May/05/2014,3641771.5,Completed,2000,100,1532,69.37903,35.058482
M009,Dashti Khuja,Balkh,Balkh,Dashti Khuja,BRAC/CHA,Alyas Afghan Construction Company,Sep/23/2013,Oct/20/2013,Jun/30/2014,Jun/04/2014,2844868.2,Completed,1000,100,378,66.855638,36.670191
M031,Deh Azizan,Faryab,Pashtun Kot,Deh Azizan,BRAC/CHA,Speen Dara Construction Company,Feb/10/2014,Apr/22/2014,Sep/30/2014,Oct/23/2014,4020231,Completed,1190,100,913,64.823609,35.911784
